"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.3648039e-18,-0.00078747218,-0.0047100098,-5.4517702e-06,1,0.185,0.5,0.185,0
-1.4433094e-18,-0.00079215471,-0.0047170813,-5.4569425e-06,1,0.186,0.5,0.186,0
-1.521815e-18,-0.00079683723,-0.0047241528,-5.4621148e-06,1,0.18700001,0.5,0.18700001,0
-1.6003194e-18,-0.00080151969,-0.0047312242,-5.467287e-06,1,0.18799999,0.5,0.18799999,0
-1.678825e-18,-0.00080620222,-0.0047382956,-5.4724593e-06,1,0.189,0.5,0.189,0
-1.7270683e-18,-0.00081088163,-0.004745377,-5.7284092e-06,1,0.19,0.5,0.19,0
-1.7010695e-18,-0.00081555339,-0.0047524828,-6.5995879e-06,1,0.191,0.5,0.191,0
-1.6750708e-18,-0.00082022516,-0.0047595886,-7.4707667e-06,1,0.192,0.5,0.192,0
-1.649072e-18,-0.00082489692,-0.0047666943,-8.3419455e-06,1,0.193,0.5,0.193,0
-1.2751266e-18,-0.00082977061,-0.0047755417,-8.5040798e-06,1,0.19400001,0.5,0.19400001,0
-8.4197642e-19,-0.00083467858,-0.0047846854,-8.5455531e-06,1,0.19499999,0.5,0.19499999,0
-4.0881981e-19,-0.00083958663,-0.0047938292,-8.5870271e-06,1,0.19599999,0.5,0.19599999,0
2.4336796e-20,-0.00084449467,-0.004802973,-8.628501e-06,1,0.197,0.5,0.197,0
4.5749341e-19,-0.00084940272,-0.0048121168,-8.6699749e-06,1,0.198,0.5,0.198,0
8.9065002e-19,-0.00085431077,-0.0048212605,-8.7114489e-06,1,0.199,0.5,0.199,0
1.3238066e-18,-0.00085921881,-0.0048304043,-8.7529228e-06,1,0.2,0.5,0.2,0
1.7569632e-18,-0.00086412686,-0.0048395481,-8.7943968e-06,1,0.20100001,0.5,0.20100001,0
2.1901198e-18,-0.00086903491,-0.0048486919,-8.8358707e-06,1,0.20200001,0.5,0.20200001,0
2.62327e-18,-0.00087394288,-0.0048578356,-8.877344e-06,1,0.20299999,0.5,0.20299999,0
3.0564266e-18,-0.00087885093,-0.0048669794,-8.9188179e-06,1,0.204,0.5,0.204,0
3.4895832e-18,-0.00088375898,-0.0048761231,-8.9602919e-06,1,0.205,0.5,0.205,0
3.9227398e-18,-0.00088866702,-0.0048852669,-9.0017658e-06,1,0.206,0.5,0.206,0
4.3558964e-18,-0.00089357507,-0.0048944107,-9.0432397e-06,1,0.207,0.5,0.207,0
4.7700217e-18,-0.00089846403,-0.0049034318,-9.0130606e-06,1,0.208,0.5,0.208,0
5.1595585e-18,-0.00090332832,-0.0049122944,-8.8903059e-06,1,0.20900001,0.5,0.20900001,0
5.5490895e-18,-0.00090819255,-0.0049211568,-8.7675529e-06,1,0.20999999,0.5,0.20999999,0
5.9386263e-18,-0.00091305685,-0.0049300194,-8.6447982e-06,1,0.211,0.5,0.211,0
6.3281631e-18,-0.00091792114,-0.0049388819,-8.5220434e-06,1,0.212,0.5,0.212,0
6.7176999e-18,-0.00092278544,-0.0049477445,-8.3992887e-06,1,0.213,0.5,0.213,0
7.1072367e-18,-0.00092764974,-0.004956607,-8.2765339e-06,1,0.214,0.5,0.214,0
7.4967735e-18,-0.00093251403,-0.0049654696,-8.1537792e-06,1,0.215,0.5,0.215,0
7.8863103e-18,-0.00093737833,-0.0049743322,-8.0310244e-06,1,0.21600001,0.5,0.21600001,0
8.2758413e-18,-0.00094224255,-0.0049831946,-7.9082715e-06,1,0.21699999,0.5,0.21699999,0
8.6653781e-18,-0.00094710685,-0.0049920572,-7.7855168e-06,1,0.21799999,0.5,0.21799999,0
9.0549149e-18,-0.00095197115,-0.0050009197,-7.662762e-06,1,0.219,0.5,0.219,0
9.219359e-18,-0.00095700283,-0.0050094211,-7.2359949e-06,1,0.22,0.5,0.22,0
9.3151689e-18,-0.00096205077,-0.0050179382,-6.7980721e-06,1,0.221,0.5,0.221,0
8.0838733e-18,-0.00096715869,-0.0050276801,-6.7408466e-06,1,0.222,0.5,0.222,0
6.8525777e-18,-0.00097226662,-0.005037422,-6.6836212e-06,1,0.223,0.5,0.223,0
5.6212821e-18,-0.00097737454,-0.005047164,-6.6263958e-06,1,0.22400001,0.5,0.22400001,0
4.3900048e-18,-0.00098248238,-0.0050569057,-6.5691712e-06,1,0.22499999,0.5,0.22499999,0
3.1587092e-18,-0.0009875903,-0.0050666476,-6.5119457e-06,1,0.226,0.5,0.226,0
1.9274136e-18,-0.00099269822,-0.0050763896,-6.4547203e-06,1,0.227,0.5,0.227,0
6.9611804e-19,-0.00099780614,-0.0050861315,-6.3974949e-06,1,0.228,0.5,0.228,0
-5.3517755e-19,-0.0010029141,-0.0050958734,-6.3402694e-06,1,0.229,0.5,0.229,0
-1.7664732e-18,-0.001008022,-0.0051056153,-6.283044e-06,1,0.23,0.5,0.23,0
-2.9977687e-18,-0.0010131299,-0.0051153572,-6.2258185e-06,1,0.23100001,0.5,0.23100001,0
-4.229046e-18,-0.0010182377,-0.005125099,-6.1685939e-06,1,0.23199999,0.5,0.23199999,0
-5.4603416e-18,-0.0010233457,-0.0051348409,-6.1113685e-06,1,0.233,0.5,0.233,0
-6.6916372e-18,-0.0010284536,-0.0051445828,-6.0541431e-06,1,0.234,0.5,0.234,0
-7.9229328e-18,-0.0010335615,-0.0051543247,-5.9969176e-06,1,0.235,0.5,0.235,0
-9.1542284e-18,-0.0010386694,-0.0051640667,-5.9396922e-06,1,0.236,0.5,0.236,0
-1.0385524e-17,-0.0010437774,-0.0051738086,-5.8824667e-06,1,0.237,0.5,0.237,0
-1.161682e-17,-0.0010488853,-0.0051835505,-5.8252413e-06,1,0.23800001,0.5,0.23800001,0
-1.2848097e-17,-0.0010539931,-0.0051932923,-5.7680167e-06,1,0.23899999,0.5,0.23899999,0
-1.4079392e-17,-0.001059101,-0.0052030342,-5.7107913e-06,1,0.23999999,0.5,0.23999999,0
-1.5310688e-17,-0.001064209,-0.0052127761,-5.6535658e-06,1,0.241,0.5,0.241,0
-1.6541984e-17,-0.0010693169,-0.005222518,-5.5963404e-06,1,0.242,0.5,0.242,0
-1.7773279e-17,-0.0010744248,-0.0052322599,-5.5391149e-06,1,0.243,0.5,0.243,0
-1.9004575e-17,-0.0010795327,-0.0052420018,-5.4818895e-06,1,0.244,0.5,0.244,0
-2.023587e-17,-0.0010846406,-0.0052517438,-5.424664e-06,1,0.245,0.5,0.245,0
-2.0970313e-17,-0.0010899274,-0.0052658187,-3.3040988e-06,1,0.24600001,0.5,0.24600001,0
-2.1568884e-17,-0.001095263,-0.0052810783,-6.193625e-07,1,0.24699999,0.5,0.24699999,0
-2.2167464e-17,-0.0011005987,-0.0052963381,2.0654138e-06,1,0.248,0.5,0.248,0
-2.2766044e-17,-0.0011059344,-0.005311598,4.7501901e-06,1,0.249,0.5,0.249,0
-2.3364624e-17,-0.0011112701,-0.0053268578,7.4349664e-06,1,0.25,0.5,0.25,0
-2.3963195e-17,-0.0011166057,-0.0053421174,1.0119703e-05,1,0.25099999,0.5,0.25099999,0
-2.2893786e-17,-0.0011219726,-0.0053561232,1.1654375e-05,1,0.252,0.5,0.252,0
-1.5802368e-17,-0.0011274518,-0.0053656007,9.036593e-06,1,0.25299999,0.5,0.25299999,0
-8.7107382e-18,-0.0011329312,-0.0053750784,6.4187327e-06,1,0.25400001,0.5,0.25400001,0
-1.6193202e-18,-0.0011384104,-0.0053845558,3.8009505e-06,1,0.255,0.5,0.255,0
5.4723091e-18,-0.0011438898,-0.0053940335,1.1830902e-06,1,0.25600001,0.5,0.25600001,0
1.2563727e-17,-0.0011493691,-0.005403511,-1.434692e-06,1,0.257,0.5,0.257,0
1.9655145e-17,-0.0011548483,-0.0054129884,-4.0524743e-06,1,0.25799999,0.5,0.25799999,0
2.6746774e-17,-0.0011603277,-0.0054224661,-6.6703345e-06,1,0.259,0.5,0.259,0
